100
21188469868493.906250	109	79
19837805383875.710938	109	136
19714888141984.789062	225	208
19157817634651.613281	102	194
18761350100098.207031	233	207
18705520458518.066406	118	112
18173013430475.007812	234	193
18159970354767.105469	303	208
17201813101433.521484	300	171
17112125263913.136719	106	133
16959195103918.730469	143	131
16861099649211.074219	302	168
16464980309230.689453	109	135
16419580699806.324219	170	210
16358994241257.693359	111	139
15880874679172.892578	141	125
15621777084039.433594	272	171
15561213104022.173828	302	167
15205942610785.964844	302	210
15146939489952.250000	220	209
15099042649584.390625	160	121
15098722645842.033203	238	206
14995158289641.128906	278	171
14866769178408.328125	54	236
14803404743374.220703	119	98
14795190023676.164062	226	209
14705240559708.093750	299	171
14612655356291.382812	239	207
14302269179879.390625	256	205
13633890869113.386719	168	126
13539452694909.857422	304	208
13312982104713.591797	142	131
13251618815064.613281	117	75
13206333753335.814453	171	117
13197834962024.113281	164	128
13174355908644.359375	184	216
13065356742499.062500	299	170
12973530860412.933594	169	120
12965866984734.453125	164	125
12949523948590.187500	180	216
12830598488454.291016	272	170
12772009760171.917969	104	182
12725224089449.113281	140	125
12645427227087.068359	167	128
12526075621192.023438	161	121
12317429945410.898438	155	114
12151392941607.212891	162	134
11844987410989.966797	233	198
11727184729790.613281	168	125
11725590492406.656250	233	197
11717184945969.640625	82	235
11681585374045.394531	106	183
11643164394346.371094	106	88
11622370530701.648438	103	182
11559340615434.378906	165	129
11417443510868.210938	162	119
11347891957745.082031	99	183
11249030753450.580078	250	206
11206203567631.363281	222	177
11100041061575.269531	278	170
11073622220006.830078	168	170
11038403989677.789062	114	179
11015510399355.087891	288	201
10879186792361.804688	231	203
10869594896913.148438	168	120
10773436979488.689453	113	107
10773333548201.125000	106	184
10751802815550.691406	118	98
10588288101620.023438	166	119
10553830938562.628906	120	203
10535091755109.777344	253	173
10520420675419.994141	256	206
10425894724084.019531	162	118
10343482681772.771484	293	201
10326171914643.091797	268	225
10257004115155.613281	143	104
10092039811152.683594	270	216
9921063715193.058594	268	224
9675711116513.677734	121	203
9664437138794.964844	199	182
9607469562537.039062	109	120
9593034096150.914062	187	227
9590958753880.406250	166	124
9504150068026.718750	108	120
9452432184368.121094	160	214
9422939429166.005859	268	226
9343442096742.343750	170	170
9060390379402.953125	216	84
8861701033218.158203	144	99
8848682128013.083984	268	218
8761277103101.330078	66	240
8735660051282.014648	296	194
8685966418549.121094	164	134
8629557667128.689453	167	131
8559300191873.248047	67	249
8531249062911.243164	145	225
8486866801792.940430	168	123
8374840316370.123047	238	202
8319995689555.718750	295	202
8243689865768.146484	167	122
